NOTICE_TEMPLATE_NAME,NOTICE_TEMLATEID,NOTICE_COMMUNICATION,NOTICESCOUNT 
102 - CUR_Confirmation of Receipt Notice,CNMREN102,Print,164
1A - CUR_Medicaid Eligibility,CNMEEN01A,Print,118
101A - CUR_Passive Renewal Notice,CNMREN101A,Print,70
SR4 - CUR_DCHL Confirmation of Receipt Notice,CNMRENSR4,Print,54
15A - CUR_Re-determination Based on Self-Reported Information,CNRDEN15A,Print,52
1A - CUR_Medicaid Eligibility,CNMEEN01A,Both,39
SR4 - CUR_DCHL Confirmation of Receipt Notice,CNMRENSR4,Both,29
15A - CUR_Re-determination Based on Self-Reported Information,CNRDEN15A,Both,19
2 - CUR_Request for Information,CNMEEN02,Email,19
2 - CUR_Request for Information,CNMEEN02,Both,17
20A - CUR_First Documenation Reminder Notice,CNRNEN20A,Email,17
20A - CUR_First Documenation Reminder Notice,CNRNEN20A,Both,16
20A - CUR_First Documenation Reminder Notice,CNRNEN20A,Print,15
20B - CUR_Second  Documenation Reminder Notice,CNRNEN20B,Both,14
2 - CUR_Request for Information,CNMEEN02,Print,13
102 - CUR_Confirmation of Receipt Notice_SPA,CNMRSP102,Print,12
21 - CUR_Third Documentation Reminder Notice,CNRNEN21,Both,12
21 - CUR_Third Documentation Reminder Notice,CNRNEN21,Print,11
20B - CUR_Second  Documenation Reminder Notice,CNRNEN20B,Email,11
21 - CUR_Third Documentation Reminder Notice,CNRNEN21,Email,11
22 - CUR_Fourth Documentation Reminder Notice,CNRNEN22,Print,11
20B - CUR_Second  Documenation Reminder Notice,CNRNEN20B,Print,10
22 - CUR_Fourth Documentation Reminder Notice,CNRNEN22,Email,9
22 - CUR_Fourth Documentation Reminder Notice,CNRNEN22,Both,9
15A - CUR_Re-determination Based on Self-Reported Information,CNRDEN15A,Email,7
1A - CUR_Medicaid Eligibility,CNMEEN01A,Email,6
4A - CUR_Individual Temporary Eligibility,CNIEEN04A,Email,5
1A - CUR_Medicaid Eligibility,CNMESP01A,Print,4
31 - CUR_Confirmation of Documents Received-No Further Documents Needed,CNDREN31,Email,4
10 - CUR_Total Ineligibility,CNIEEN10,Print,4
31 - CUR_Confirmation of Documents Received-No Further Documents Needed,CNDREN31,Both,4
22 - CUR_Fourth Documentation Reminder Notice,CNRNSP22,Print,3
20A - CUR_First Documenation Reminder Notice,CNRNSP20A,Print,3
1E2 - CUR_Foster Care New Medicaid Eligibility Notice,CNMEEN01E2,Print,2
1E - CUR_Medicaid and Temp Medicaid Eligibility,CNMEEN01E,Print,2
101A - CUR_Passive Renewal Notice_SPA,CNMRSP101A,Print,2
15A - CUR_Re-determination Based on Self-Reported Information,CNRDSP15A,Print,2
37B1 - CUR_VoluntaryTermination (No New Plan),CNPCEN37B1,Both,2
37B1 - CUR_VoluntaryTermination (No New Plan),CNPCEN37B1,Email,2
19 - CUR_Request For Social Security Number,CNRSEN19,Print,2
SR4 - CUR_DCHL Confirmation of Receipt Notice_SPA,CNMRSPSR4,Print,2
SR4 - CUR_DCHL Confirmation of Receipt Notice,CNMRENSR4,Email,2
3A - CUR_Exchange+APTC Eligibility,CNIEEN03A,Both,1
37B1 - CUR_VoluntaryTermination (No New Plan),CNPCEN37B1,Print,1
1G - CUR_Medicaid and Temp Medicaid Eligibility,CNMEEN01G,Print,1
1E2 - CUR_Foster Care New Medicaid Eligibility Notice,CNMEEN01E2,Both,1
20B - CUR_Second  Documenation Reminder Notice,CNRNAM20B,Email,1
3A - CUR_Exchange+APTC Eligibility,CNIEEN03A,Email,1
4A - CUR_Individual Temporary Eligibility,CNIEEN04A,Both,1
SR4 - CUR_DCHL Confirmation of Receipt Notice,CNMRAMSR4,Both,1
31A - CUR_Confirmation of Documents Received-Additional Documents Still Needed,CNDREN31A,Email,1
21 - CUR_Third Documentation Reminder Notice,CNRNSP21,Print,1
1G - CUR_Medicaid and Temp Medicaid Eligibility,CNMEEN01G,Email,1
2 - CUR_Request for Information,CNMESP02,Both,1
20B - CUR_Second  Documenation Reminder Notice,CNRNSP20B,Both,1
31 - CUR_Confirmation of Documents Received-No Further Documents Needed,CNDREN31,Print,1
8D - CUR_Individual Temp Non-IAPEligibility,CNIEEN08D,Both,1
20B - CUR_Second  Documenation Reminder Notice,CNRNSP20B,Print,1
21 - CUR_Third Documentation Reminder Notice,CNRNAM21,Print,1
