NOTICE_TEMPLATE_NAME,NOTICE_TEMLATEID,NOTICE_COMMUNICATION,NOTICESCOUNT 
102 - CUR_Confirmation of Receipt Notice,CNMREN102,Print,72
22 - CUR_Fourth Documentation Reminder Notice,CNRNEN22,Print,9
20A - CUR_First Documenation Reminder Notice,CNRNEN20A,Print,7
1A - CUR_Medicaid Eligibility,CNMEEN01A,Print,6
10 - CUR_Total Ineligibility,CNIEEN10,Print,5
21 - CUR_Third Documentation Reminder Notice,CNRNEN21,Print,5
22 - CUR_Fourth Documentation Reminder Notice,CNRNEN22,Both,5
2 - CUR_Request for Information,CNMEEN02,Both,5
20A - CUR_First Documenation Reminder Notice,CNRNEN20A,Email,4
20B - CUR_Second  Documenation Reminder Notice,CNRNEN20B,Email,3
21 - CUR_Third Documentation Reminder Notice,CNRNEN21,Both,3
8A - CUR_Individual_Non-IAPEligibility,CNIEEN08A,Print,3
20A - CUR_First Documenation Reminder Notice,CNRNEN20A,Both,3
22 - CUR_Fourth Documentation Reminder Notice,CNRNEN22,Email,3
102 - CUR_Confirmation of Receipt Notice_SPA,CNMRSP102,Print,3
2 - CUR_Request for Information,CNMEEN02,Print,3
10 - CUR_Total Ineligibility,CNIESP10,Print,2
19 - CUR_Request For Social Security Number,CNRSEN19,Print,2
4A - CUR_Individual Temporary Eligibility,CNIEEN04A,Email,2
4A - CUR_Individual Temporary Eligibility,CNIEEN04A,Both,2
2 - CUR_Request for Information,CNMEEN02,Email,2
1A - CUR_Medicaid Eligibility,CNMEEN01A,Email,2
8D - CUR_Individual Temp Non-IAPEligibility,CNIEEN08D,Both,1
20B - CUR_Second  Documenation Reminder Notice,CNRNEN20B,Print,1
21 - CUR_Third Documentation Reminder Notice,CNRNEN21,Email,1
15B1 - CUR_Medicaid Self Report Inconsistent with Data Match,CNRDSP15B1,Both,1
3A - CUR_Exchange+APTC Eligibility,CNIEEN03A,Both,1
22 - CUR_Fourth Documentation Reminder Notice,CNRNSP22,Print,1
30 - CUR_Medicaid Card Replacement Confirmation,CNMCEN30,Print,1
8D - CUR_Individual Temp Non-IAPEligibility,CNIEEN08D,Email,1
22 - CUR_Fourth Documentation Reminder Notice,CNRNSP22,Email,1
1A - CUR_Medicaid Eligibility,CNMESP01A,Print,1
20B - CUR_Second  Documenation Reminder Notice,CNRNEN20B,Both,1
5A - CUR_Mixed Coverage Family,CNMFEN05A,Print,1
