NOTICE_TEMPLATE_NAME,NOTICE_TEMLATEID,NOTICE_COMMUNICATION,NOTICESCOUNT 
1A - CUR_Medicaid Eligibility,CNMEEN01A,Print,91
102 - CUR_Confirmation of Receipt Notice,CNMREN102,Print,55
10 - CUR_Total Ineligibility,CNIEEN10,Print,28
15A - CUR_Re-determination Based on Self-Reported Information,CNRDEN15A,Print,23
1A - CUR_Medicaid Eligibility,CNMEEN01A,Both,19
SR8 - CUR_SEP Denial,CNLEENSR8,Both,15
102 - CUR_Confirmation of Receipt Notice_SPA,CNMRSP102,Print,14
20A - CUR_First Documenation Reminder Notice,CNRNEN20A,Print,13
1A - CUR_Medicaid Eligibility,CNMESP01A,Print,13
20B - CUR_Second  Documenation Reminder Notice,CNRNEN20B,Print,12
SR4 - CUR_DCHL Confirmation of Receipt Notice,CNMRENSR4,Print,11
10 - CUR_Total Ineligibility,CNIESP10,Print,9
20A - CUR_First Documenation Reminder Notice,CNRNEN20A,Both,9
2 - CUR_Request for Information,CNMEEN02,Email,7
20B - CUR_Second  Documenation Reminder Notice,CNRNEN20B,Both,7
15A - CUR_Re-determination Based on Self-Reported Information,CNRDEN15A,Both,7
1A - CUR_Medicaid Eligibility,CNMEEN01A,Email,6
SR4 - CUR_DCHL Confirmation of Receipt Notice,CNMRENSR4,Both,6
20A - CUR_First Documenation Reminder Notice,CNRNEN20A,Email,5
2 - CUR_Request for Information,CNMEEN02,Print,5
SR4 - CUR_DCHL Confirmation of Receipt Notice,CNMRENSR4,Email,4
20B - CUR_Second  Documenation Reminder Notice,CNRNEN20B,Email,3
8D - CUR_Individual Temp Non-IAPEligibility,CNIEEN08D,Both,3
15A - CUR_Re-determination Based on Self-Reported Information,CNRDEN15A,Email,3
4A - CUR_Individual Temporary Eligibility,CNIEEN04A,Email,3
2 - CUR_Request for Information,CNMEEN02,Both,3
8A - CUR_Individual_Non-IAPEligibility,CNIEEN08A,Print,2
4A - CUR_Individual Temporary Eligibility,CNIEEN04A,Both,2
SR7 - CUR_SEP Approval,CNLEENSR7,Both,2
SR8 - CUR_SEP Denial,CNLEENSR8,Email,2
4A - CUR_Individual Temporary Eligibility,CNIEEN04A,Print,2
8D - CUR_Individual Temp Non-IAPEligibility,CNIEEN08D,Print,2
3A - CUR_Exchange+APTC Eligibility,CNIEEN03A,Print,2
20A - CUR_First Documenation Reminder Notice,CNRNSP20A,Print,2
8D - CUR_Individual Temp Non-IAPEligibility,CNIEEN08D,Email,1
31 - CUR_Confirmation of Documents Received-No Further Documents Needed,CNDREN31,Both,1
1A - CUR_Medicaid Eligibility,CNMESP01A,Both,1
20B - CUR_Second  Documenation Reminder Notice,CNRNSP20B,Print,1
5A - CUR_Mixed Coverage Family,CNMFEN05A,Print,1
15A - CUR_Re-determination Based on Self-Reported Information,CNRDSP15A,Print,1
3A - CUR_Exchange+APTC Eligibility,CNIEEN03A,Both,1
31 - CUR_Confirmation of Documents Received-No Further Documents Needed,CNDREN31,Print,1
