NOTICE_TEMPLATE_NAME,NOTICE_TEMLATEID,NOTICE_COMMUNICATION,NOTICESCOUNT 
IVLR 5B - CUR_Conditional Individual Renewal Notice,CNIREN05B,Both,128
IVLR 5B - CUR_Conditional Individual Renewal Notice,CNIREN05B,Print,79
IVLR 7B - CUR_Conditional Individual Renewal Notice,CNIREN07B,Both,77
1A - CUR_Medicaid Eligibility,CNMEEN01A,Print,71
102 - CUR_Confirmation of Receipt Notice,CNMREN102,Print,64
IVLR 7B - CUR_Conditional Individual Renewal Notice,CNIREN07B,Print,61
IVLR 5B - CUR_Conditional Individual Renewal Notice,CNIREN05B,Email,60
IVLR 5A - CUR_Individual Renewal Notice,CNIREN05A,Both,59
IVLR 5A - CUR_Individual Renewal Notice,CNIREN05A,Print,50
IVLR 5A - CUR_Individual Renewal Notice,CNIREN05A,Email,34
2 - CUR_Request for Information,CNMEEN02,Both,24
IVLR 7A - CUR_Individual Renewal Notice,CNIREN07A,Print,21
IVLR 7B - CUR_Conditional Individual Renewal Notice,CNIREN07B,Email,21
IVLR 7A - CUR_Individual Renewal Notice,CNIREN07A,Both,20
102 - CUR_Confirmation of Receipt Notice_SPA,CNMRSP102,Print,19
2 - CUR_Request for Information,CNMEEN02,Print,17
IVLR 6B - CUR_Conditional Individual Renewal Notice,CNIREN06B,Both,14
2 - CUR_Request for Information,CNMEEN02,Email,13
22 - CUR_Fourth Documentation Reminder Notice,CNRNEN22,Both,12
20A - CUR_First Documenation Reminder Notice,CNRNEN20A,Both,11
1A - CUR_Medicaid Eligibility,CNMEEN01A,Both,10
IVLR 7A - CUR_Individual Renewal Notice,CNIREN07A,Email,9
22 - CUR_Fourth Documentation Reminder Notice,CNRNEN22,Print,9
10 - CUR_Total Ineligibility,CNIEEN10,Print,8
20B - CUR_Second  Documenation Reminder Notice,CNRNEN20B,Print,7
IVLR 6B - CUR_Conditional Individual Renewal Notice,CNIREN06B,Email,7
20A - CUR_First Documenation Reminder Notice,CNRNEN20A,Print,7
IVLR 6B - CUR_Conditional Individual Renewal Notice,CNIREN06B,Print,7
20A - CUR_First Documenation Reminder Notice,CNRNEN20A,Email,7
1A - CUR_Medicaid Eligibility,CNMESP01A,Print,5
15B1 - CUR_Medicaid Self Report Inconsistent with Data Match,CNRDEN15B1,Both,4
IVLR 5B - CUR_AETNA_Conditional Individual Renewal Notice,CNIREN5B_A,Email,4
1A - CUR_Medicaid Eligibility,CNMEEN01A,Email,4
20B - CUR_Second  Documenation Reminder Notice,CNRNEN20B,Both,4
21 - CUR_Third Documentation Reminder Notice,CNRNEN21,Print,3
IVLR 5B - CUR_AETNA_Conditional Individual Renewal Notice,CNIREN5B_A,Both,3
IVLR 5B - CUR_AETNA_Conditional Individual Renewal Notice,CNIREN5B_A,Print,3
30 - CUR_Medicaid Card Replacement Confirmation,CNMCEN30,Print,2
19 - CUR_Request For Social Security Number,CNRSEN19,Print,2
IVLR 7B - CUR_AETNA_Conditional Individual Renewal Notice,CNIREN7B_A,Both,2
10 - CUR_Total Ineligibility,CNIESP10,Print,2
31 - CUR_Confirmation of Documents Received-No Further Documents Needed,CNDREN31,Print,2
15A - CUR_Re-determination Based on Self-Reported Information,CNRDEN15A,Print,2
20B - CUR_Second  Documenation Reminder Notice,CNRNEN20B,Email,2
22 - CUR_Fourth Documentation Reminder Notice,CNRNSP22,Print,2
IVLR 6A - CUR_Individual Renewal Notice,CNIREN06A,Print,2
31 - CUR_Confirmation of Documents Received-No Further Documents Needed,CNDRAM31,Both,2
15B1 - CUR_Medicaid Self Report Inconsistent with Data Match,CNRDEN15B1,Print,2
22 - CUR_Fourth Documentation Reminder Notice,CNRNEN22,Email,2
IVLR 7B - CUR_AETNA_Conditional Individual Renewal Notice,CNIREN7B_A,Print,2
15B1 - CUR_Medicaid Self Report Inconsistent with Data Match,CNRDSP15B1,Print,1
31 - CUR_Confirmation of Documents Received-No Further Documents Needed,CNDREN31,Email,1
15A - CUR_Re-determination Based on Self-Reported Information,CNRDEN15A,Email,1
IVLR 5A - CUR_AETNA_Individual Renewal Notice,CNIREN5A_A,Both,1
21 - CUR_Third Documentation Reminder Notice,CNRNEN21,Email,1
15A - CUR_Re-determination Based on Self-Reported Information,CNRDEN15A,Both,1
21 - CUR_Third Documentation Reminder Notice,CNRNEN21,Both,1
31A - CUR_Confirmation of Documents Received-Additional Documents Still Needed,CNDREN31A,Email,1
31 - CUR_Confirmation of Documents Received-No Further Documents Needed,CNDRSP31,Print,1
20A - CUR_First Documenation Reminder Notice,CNRNSP20A,Print,1
1E2 - CUR_Foster Care New Medicaid Eligibility Notice,CNMEEN01E2,Both,1
IVLR 6A - CUR_Individual Renewal Notice,CNIREN06A,Both,1
IVLR 6A - CUR_Individual Renewal Notice,CNIREN06A,Email,1
IVLR 7A - CUR_AETNA_Individual Renewal Notice,CNIREN7A_A,Both,1
1A - CUR_Medicaid Eligibility,CNMESP01A,Both,1
31 - CUR_Confirmation of Documents Received-No Further Documents Needed,CNDREN31,Both,1
4A - CUR_Individual Temporary Eligibility,CNIEEN04A,Email,1
