NOTICE_TEMPLATE_NAME,NOTICE_TEMLATEID,NOTICE_COMMUNICATION,NOTICESCOUNT 
SR3 - CUR_DCHL Termination Notice,CNMRENSR3,Print,1674
SR3 - CUR_DCHL Termination Notice,CNMRENSR3,Both,1288
SR3 - CUR_DCHL Termination Notice,CNMRENSR3,Email,666
SR3 - CUR_DCHL Termination Notice_SPA,CNMRSPSR3,Print,46
SR3 - CUR_DCHL Termination Notice_SPA,CNMRSPSR3,Both,19
22 - CUR_Fourth Documentation Reminder Notice,CNRNEN22,Print,16
21 - CUR_Third Documentation Reminder Notice,CNRNEN21,Print,15
10 - CUR_Total Ineligibility,CNIEEN10,Print,15
102 - CUR_Confirmation of Receipt Notice,CNMREN102,Print,14
21 - CUR_Third Documentation Reminder Notice,CNRNEN21,Both,13
21 - CUR_Third Documentation Reminder Notice,CNRNEN21,Email,12
1A - CUR_Medicaid Eligibility,CNMEEN01A,Print,11
SR3 - CUR_DCHL Termination Notice,CNMRAMSR3,Both,10
20A - CUR_First Documenation Reminder Notice,CNRNEN20A,Print,9
20A - CUR_First Documenation Reminder Notice,CNRNEN20A,Both,9
22 - CUR_Fourth Documentation Reminder Notice,CNRNEN22,Both,9
SR3 - CUR_DCHL Termination Notice,CNMRAMSR3,Print,7
22 - CUR_Fourth Documentation Reminder Notice,CNRNEN22,Email,5
10 - CUR_Total Ineligibility,CNIESP10,Print,5
20A - CUR_First Documenation Reminder Notice,CNRNEN20A,Email,5
SR3 - CUR_DCHL Termination Notice_SPA,CNMRSPSR3,Email,4
2 - CUR_Request for Information,CNMEEN02,Email,4
8A - CUR_Individual_Non-IAPEligibility,CNIEEN08A,Print,3
4A - CUR_Individual Temporary Eligibility,CNIEEN04A,Both,3
1A - CUR_Medicaid Eligibility,CNMEEN01A,Both,3
19 - CUR_Request For Social Security Number,CNRSEN19,Print,3
2 - CUR_Request for Information,CNMEEN02,Both,3
7D - CUR_ Unassisted  Exchange+Mediciad,CNMFEN07D,Print,3
20A - CUR_First Documenation Reminder Notice,CNRNSP20A,Print,2
3A - CUR_Exchange+APTC Eligibility,CNIEEN03A,Both,2
8D - CUR_Individual Temp Non-IAPEligibility,CNIEEN08D,Both,2
102 - CUR_Confirmation of Receipt Notice_SPA,CNMRSP102,Print,2
20B - CUR_Second  Documenation Reminder Notice,CNRNEN20B,Email,2
SR3 - CUR_DCHL Termination Notice,CNMRAMSR3,Email,2
1A - CUR_Medicaid Eligibility,CNMEEN01A,Email,1
15B1 - CUR_Medicaid Self Report Inconsistent with Data Match,CNRDEN15B1,Email,1
15B1 - CUR_Medicaid Self Report Inconsistent with Data Match,CNRDEN15B1,Print,1
8D - CUR_Individual Temp Non-IAPEligibility,CNIEEN08D,Email,1
7A - CUR_Mixed Coverage Family Eligibility,CNMFEN07A,Print,1
22 - CUR_Fourth Documentation Reminder Notice,CNRNAM22,Both,1
20B - CUR_Second  Documenation Reminder Notice,CNRNEN20B,Both,1
8D - CUR_Individual Temp Non-IAPEligibility,CNIEEN08D,Print,1
37B1 - CUR_VoluntaryTermination (No New Plan),CNPCEN37B1,Both,1
20B - CUR_Second  Documenation Reminder Notice,CNRNEN20B,Print,1
4A - CUR_Individual Temporary Eligibility,CNIEEN04A,Print,1
3A - CUR_Exchange+APTC Eligibility,CNIEEN03A,Print,1
