NOTICE_TEMPLATE_NAME,NOTICE_TEMLATEID,NOTICE_COMMUNICATION,NOTICESCOUNT 
102 - CUR_Confirmation of Receipt Notice,CNMREN102,Print,60
10 - CUR_Total Ineligibility,CNIEEN10,Print,24
15A - CUR_Re-determination Based on Self-Reported Information,CNRDEN15A,Print,17
SR4 - CUR_DCHL Confirmation of Receipt Notice,CNMRENSR4,Print,11
102 - CUR_Confirmation of Receipt Notice_SPA,CNMRSP102,Print,10
SR8 - CUR_SEP Denial,CNLEENSR8,Both,8
10 - CUR_Total Ineligibility,CNIESP10,Print,7
15A - CUR_Re-determination Based on Self-Reported Information,CNRDEN15A,Both,6
SR4 - CUR_DCHL Confirmation of Receipt Notice,CNMRENSR4,Both,3
31A - CUR_Confirmation of Documents Received-Additional Documents Still Needed,CNDRSP31A,Print,2
1A - CUR_Medicaid Eligibility,CNMEEN01A,Print,2
1A - CUR_Medicaid Eligibility,CNMEEN01A,Both,2
SR4 - CUR_DCHL Confirmation of Receipt Notice,CNMRENSR4,Email,2
31 - CUR_Confirmation of Documents Received-No Further Documents Needed,CNDREN31,Email,2
SR8 - CUR_SEP Denial,CNLEENSR8,Email,1
30 - CUR_Medicaid Card Replacement Confirmation,CNMCEN30,Both,1
1A - CUR_Medicaid Eligibility,CNMEEN01A,Email,1
15A - CUR_Re-determination Based on Self-Reported Information,CNRDAM15A,Both,1
20A - CUR_First Documenation Reminder Notice,CNRNEN20A,Both,1
15A - CUR_Re-determination Based on Self-Reported Information,CNRDSP15A,Print,1
