NOTICE_TEMPLATE_NAME,NOTICE_TEMLATEID,NOTICE_COMMUNICATION,NOTICESCOUNT 
102 - CUR_Confirmation of Receipt Notice,CNMREN102,Print,171
1A - CUR_Medicaid Eligibility,CNMEEN01A,Print,63
10 - CUR_Total Ineligibility,CNIEEN10,Print,36
102 - CUR_Confirmation of Receipt Notice_SPA,CNMRSP102,Print,24
1A - CUR_Medicaid Eligibility,CNMEEN01A,Both,20
2 - CUR_Request for Information,CNMEEN02,Print,14
SR4 - CUR_DCHL Confirmation of Receipt Notice,CNMRENSR4,Both,9
1A - CUR_Medicaid Eligibility,CNMESP01A,Print,8
SR8 - CUR_SEP Denial,CNLEENSR8,Both,7
2 - CUR_Request for Information,CNMEEN02,Email,7
20B - CUR_Second  Documenation Reminder Notice,CNRNEN20B,Both,7
SR8 - CUR_SEP Denial,CNLEENSR8,Email,6
1A - CUR_Medicaid Eligibility,CNMEEN01A,Email,6
10 - CUR_Total Ineligibility,CNIESP10,Print,6
SR4 - CUR_DCHL Confirmation of Receipt Notice,CNMRENSR4,Print,5
22 - CUR_Fourth Documentation Reminder Notice,CNRNEN22,Print,5
22 - CUR_Fourth Documentation Reminder Notice,CNRNEN22,Email,5
22 - CUR_Fourth Documentation Reminder Notice,CNRNEN22,Both,5
SR8 - CUR_SEP Denial,CNLEENSR8,Print,4
20A - CUR_First Documenation Reminder Notice,CNRNEN20A,Both,4
21 - CUR_Third Documentation Reminder Notice,CNRNEN21,Print,3
20B - CUR_Second  Documenation Reminder Notice,CNRNEN20B,Print,3
15A - CUR_Re-determination Based on Self-Reported Information,CNRDEN15A,Print,2
20A - CUR_First Documenation Reminder Notice,CNRNEN20A,Print,2
31 - CUR_Confirmation of Documents Received-No Further Documents Needed,CNDREN31,Both,2
20A - CUR_First Documenation Reminder Notice,CNRNEN20A,Email,2
2 - CUR_Request for Information,CNMEEN02,Both,2
1E2 - CUR_Foster Care New Medicaid Eligibility Notice,CNMEEN01E2,Both,2
15B1 - CUR_Medicaid Self Report Inconsistent with Data Match,CNRDEN15B1,Both,2
1E2 - CUR_Foster Care New Medicaid Eligibility Notice,CNMEEN01E2,Email,2
4A - CUR_Individual Temporary Eligibility,CNIEEN04A,Print,2
19 - CUR_Request For Social Security Number,CNRSEN19,Both,2
19 - CUR_Request For Social Security Number,CNRSEN19,Print,1
SR7 - CUR_SEP Approval,CNLEENSR7,Print,1
15A - CUR_Re-determination Based on Self-Reported Information,CNRDEN15A,Email,1
SR4 - CUR_DCHL Confirmation of Receipt Notice_SPA,CNMRSPSR4,Print,1
1A - CUR_Medicaid Eligibility,CNMEAM01A,Print,1
SR4 - CUR_DCHL Confirmation of Receipt Notice,CNMRENSR4,Email,1
31 - CUR_Confirmation of Documents Received-No Further Documents Needed,CNDRSP31,Both,1
15B1 - CUR_Medicaid Self Report Inconsistent with Data Match,CNRDSP15B1,Both,1
4A - CUR_Individual Temporary Eligibility,CNIEEN04A,Email,1
15B1 - CUR_Medicaid Self Report Inconsistent with Data Match,CNRDEN15B1,Print,1
1E2 - CUR_Foster Care New Medicaid Eligibility Notice,CNMEEN01E2,Print,1
8D - CUR_Individual Temp Non-IAPEligibility,CNIEEN08D,Both,1
SR4 - CUR_DCHL Confirmation of Receipt Notice,CNMRAMSR4,Print,1
15A - CUR_Re-determination Based on Self-Reported Information,CNRDEN15A,Both,1
22 - CUR_Fourth Documentation Reminder Notice,CNRNSP22,Both,1
21 - CUR_Third Documentation Reminder Notice,CNRNEN21,Email,1
30 - CUR_Medicaid Card Replacement Confirmation,CNMCEN30,Both,1
SR4 - CUR_DCHL Confirmation of Receipt Notice,CNMRAMSR4,Both,1
31A - CUR_Confirmation of Documents Received-Additional Documents Still Needed,CNDREN31A,Both,1
31 - CUR_Confirmation of Documents Received-No Further Documents Needed,CNDRSP31,Print,1
