NOTICE_TEMPLATE_NAME,NOTICE_TEMLATEID,NOTICE_COMMUNICATION,NOTICESCOUNT 
SR20 - CUR_D1 Medicaid Renewal Form,CNMRENSR20,Print,3696
SR20 - CUR_D1 Medicaid Renewal Form,CNMRENSR20,Both,592
SR20 - CUR_D1 Medicaid Renewal Form,CNMRENSR20,Email,315
SR20 - CUR_D1 Medicaid Renewal Form_SPA,CNMRSPSR20,Print,185
1A - CUR_Medicaid Eligibility,CNMEEN01A,Print,57
21 - CUR_Third Documentation Reminder Notice,CNRNEN21,Print,24
SR20 - CUR_D1 Medicaid Renewal Form,CNMRAMSR20,Print,23
22 - CUR_Fourth Documentation Reminder Notice,CNRNEN22,Email,21
SR20 - CUR_D1 Medicaid Renewal Form_SPA,CNMRSPSR20,Both,16
21 - CUR_Third Documentation Reminder Notice,CNRNEN21,Both,15
22 - CUR_Fourth Documentation Reminder Notice,CNRNEN22,Print,14
22 - CUR_Fourth Documentation Reminder Notice,CNRNEN22,Both,13
1A - CUR_Medicaid Eligibility,CNMEEN01A,Both,11
102 - CUR_Confirmation of Receipt Notice,CNMREN102,Print,10
20B - CUR_Second  Documenation Reminder Notice,CNRNEN20B,Both,7
20A - CUR_First Documenation Reminder Notice,CNRNEN20A,Both,7
SR20 - CUR_D1 Medicaid Renewal Form_SPA,CNMRSPSR20,Email,7
20A - CUR_First Documenation Reminder Notice,CNRNEN20A,Print,7
21 - CUR_Third Documentation Reminder Notice,CNRNEN21,Email,7
2 - CUR_Request for Information,CNMEEN02,Both,6
2 - CUR_Request for Information,CNMEEN02,Email,6
20A - CUR_First Documenation Reminder Notice,CNRNEN20A,Email,6
2 - CUR_Request for Information,CNMEEN02,Print,5
10 - CUR_Total Ineligibility,CNIEEN10,Print,4
1A - CUR_Medicaid Eligibility,CNMEEN01A,Email,4
22 - CUR_Fourth Documentation Reminder Notice,CNRNSP22,Print,3
1A - CUR_Medicaid Eligibility,CNMESP01A,Print,3
4A - CUR_Individual Temporary Eligibility,CNIEEN04A,Email,3
SR20 - CUR_D1 Medicaid Renewal Form,CNMRAMSR20,Email,3
4A - CUR_Individual Temporary Eligibility,CNIEEN04A,Both,3
21 - CUR_Third Documentation Reminder Notice,CNRNSP21,Print,3
1E2 - CUR_Foster Care New Medicaid Eligibility Notice,CNMEEN01E2,Both,3
SR20 - CUR_D1 Medicaid Renewal Form,CNMRAMSR20,Both,3
21 - CUR_Third Documentation Reminder Notice,CNRNSP21,Both,2
20A - CUR_First Documenation Reminder Notice,CNRNSP20A,Print,2
20B - CUR_Second  Documenation Reminder Notice,CNRNEN20B,Email,2
4A - CUR_Individual Temporary Eligibility,CNIEEN04A,Print,1
22 - CUR_Fourth Documentation Reminder Notice,CNRNAM22,Both,1
20B - CUR_Second  Documenation Reminder Notice,CNRNEN20B,Print,1
102 - CUR_Confirmation of Receipt Notice_SPA,CNMRSP102,Print,1
1A - CUR_Medicaid Eligibility,CNMESP01A,Both,1
19 - CUR_Request For Social Security Number_SPA,CNRSSP19,Print,1
3A - CUR_Exchange+APTC Eligibility,CNIEEN03A,Print,1
8D - CUR_Individual Temp Non-IAPEligibility,CNIEEN08D,Print,1
8A - CUR_Individual_Non-IAPEligibility,CNIEEN08A,Both,1
19 - CUR_Request For Social Security Number,CNRSEN19,Print,1
