NOTICE_TEMPLATE_NAME,NOTICE_TEMLATEID,NOTICE_COMMUNICATION,NOTICESCOUNT 
102 - CUR_Confirmation of Receipt Notice,CNMREN102,Print,109
1A - CUR_Medicaid Eligibility,CNMEEN01A,Print,81
1A - CUR_Medicaid Eligibility,CNMEEN01A,Both,26
20B - CUR_Second  Documenation Reminder Notice,CNRNEN20B,Print,26
15A - CUR_Re-determination Based on Self-Reported Information,CNRDEN15A,Print,23
10 - CUR_Total Ineligibility,CNIEEN10,Print,22
20A - CUR_First Documenation Reminder Notice,CNRNEN20A,Print,20
2 - CUR_Request for Information,CNMEEN02,Print,15
2 - CUR_Request for Information,CNMEEN02,Both,15
21 - CUR_Third Documentation Reminder Notice,CNRNEN21,Both,14
20B - CUR_Second  Documenation Reminder Notice,CNRNEN20B,Both,14
15A - CUR_Re-determination Based on Self-Reported Information,CNRDEN15A,Both,12
1A - CUR_Medicaid Eligibility,CNMEEN01A,Email,11
21 - CUR_Third Documentation Reminder Notice,CNRNEN21,Print,10
20B - CUR_Second  Documenation Reminder Notice,CNRNEN20B,Email,10
22 - CUR_Fourth Documentation Reminder Notice,CNRNEN22,Print,9
21 - CUR_Third Documentation Reminder Notice,CNRNEN21,Email,9
20A - CUR_First Documenation Reminder Notice,CNRNEN20A,Both,9
22 - CUR_Fourth Documentation Reminder Notice,CNRNEN22,Both,9
SR4 - CUR_DCHL Confirmation of Receipt Notice,CNMRENSR4,Both,8
SR4 - CUR_DCHL Confirmation of Receipt Notice,CNMRENSR4,Print,8
102 - CUR_Confirmation of Receipt Notice_SPA,CNMRSP102,Print,8
22 - CUR_Fourth Documentation Reminder Notice,CNRNEN22,Email,7
2 - CUR_Request for Information,CNMEEN02,Email,7
20A - CUR_First Documenation Reminder Notice,CNRNEN20A,Email,7
4A - CUR_Individual Temporary Eligibility,CNIEEN04A,Both,6
3A - CUR_Exchange+APTC Eligibility,CNIEEN03A,Both,6
8D - CUR_Individual Temp Non-IAPEligibility,CNIEEN08D,Both,5
15B1 - CUR_Medicaid Self Report Inconsistent with Data Match,CNRDEN15B1,Both,5
31 - CUR_Confirmation of Documents Received-No Further Documents Needed,CNDREN31,Both,5
10 - CUR_Total Ineligibility,CNIESP10,Print,4
4A - CUR_Individual Temporary Eligibility,CNIEEN04A,Email,4
22 - CUR_Fourth Documentation Reminder Notice,CNRNSP22,Print,3
15A - CUR_Re-determination Based on Self-Reported Information,CNRDEN15A,Email,3
SR8 - CUR_SEP Denial,CNLEENSR8,Print,3
31 - CUR_Confirmation of Documents Received-No Further Documents Needed,CNDREN31,Email,3
4A - CUR_Individual Temporary Eligibility,CNIEEN04A,Print,2
31A - CUR_Confirmation of Documents Received-Additional Documents Still Needed,CNDREN31A,Print,2
SR7 - CUR_SEP Approval,CNLEENSR7,Both,2
19 - CUR_Request For Social Security Number,CNRSEN19,Print,2
SR8 - CUR_SEP Denial,CNLEENSR8,Both,2
31A - CUR_Confirmation of Documents Received-Additional Documents Still Needed,CNDREN31A,Both,2
8A - CUR_Individual_Non-IAPEligibility,CNIEEN08A,Both,2
8D - CUR_Individual Temp Non-IAPEligibility,CNIEEN08D,Print,2
8D - CUR_Individual Temp Non-IAPEligibility,CNIEEN08D,Email,2
21 - CUR_Third Documentation Reminder Notice,CNRNSP21,Print,2
20B - CUR_Second  Documenation Reminder Notice,CNRNSP20B,Both,2
SR4 - CUR_DCHL Confirmation of Receipt Notice,CNMRENSR4,Email,2
8A - CUR_Individual_Non-IAPEligibility,CNIEEN08A,Email,1
1E - CUR_Medicaid and Temp Medicaid Eligibility,CNMEEN01E,Print,1
15A - CUR_Re-determination Based on Self-Reported Information,CNRDSP15A,Print,1
31 - CUR_Confirmation of Documents Received-No Further Documents Needed,CNDRSP31,Both,1
31 - CUR_Confirmation of Documents Received-No Further Documents Needed,CNDRSP31,Print,1
20B - CUR_Second  Documenation Reminder Notice,CNRNSP20B,Print,1
7A - CUR_Mixed Coverage Family Eligibility,CNMFEN07A,Print,1
22 - CUR_Fourth Documentation Reminder Notice,CNRNSP22,Both,1
3A - CUR_Exchange+APTC Eligibility,CNIEEN03A,Email,1
1A - CUR_Medicaid Eligibility,CNMESP01A,Print,1
31A - CUR_Confirmation of Documents Received-Additional Documents Still Needed,CNDREN31A,Email,1
20B - CUR_Second  Documenation Reminder Notice,CNRNAM20B,Print,1
31 - CUR_Confirmation of Documents Received-No Further Documents Needed,CNDREN31,Print,1
7D - CUR_ Unassisted  Exchange+Mediciad,CNMFEN07D,Both,1
20A - CUR_First Documenation Reminder Notice,CNRNSP20A,Print,1
