NOTICE_TEMPLATE_NAME,NOTICE_TEMLATEID,NOTICE_COMMUNICATION,NOTICESCOUNT 
1A - CUR_Medicaid Eligibility,CNMEEN01A,Print,95
2 - CUR_Request for Information,CNMEEN02,Print,35
15A - CUR_Re-determination Based on Self-Reported Information,CNRDEN15A,Print,28
20B - CUR_Second  Documenation Reminder Notice,CNRNEN20B,Print,23
20B - CUR_Second  Documenation Reminder Notice,CNRNEN20B,Both,22
2 - CUR_Request for Information,CNMEEN02,Both,21
SR4 - CUR_DCHL Confirmation of Receipt Notice,CNMRENSR4,Print,15
20A - CUR_First Documenation Reminder Notice,CNRNEN20A,Print,14
2 - CUR_Request for Information,CNMEEN02,Email,10
4A - CUR_Individual Temporary Eligibility,CNIEEN04A,Both,9
20A - CUR_First Documenation Reminder Notice,CNRNEN20A,Both,9
1A - CUR_Medicaid Eligibility,CNMEEN01A,Both,8
20A - CUR_First Documenation Reminder Notice,CNRNEN20A,Email,6
1A - CUR_Medicaid Eligibility,CNMEEN01A,Email,6
20B - CUR_Second  Documenation Reminder Notice,CNRNEN20B,Email,6
102 - CUR_Confirmation of Receipt Notice,CNMREN102,Print,6
8A - CUR_Individual_Non-IAPEligibility,CNIEEN08A,Print,5
SR4 - CUR_DCHL Confirmation of Receipt Notice,CNMRENSR4,Both,5
8D - CUR_Individual Temp Non-IAPEligibility,CNIEEN08D,Both,5
1A - CUR_Medicaid Eligibility,CNMESP01A,Print,5
15A - CUR_Re-determination Based on Self-Reported Information,CNRDEN15A,Both,4
20B - CUR_Second  Documenation Reminder Notice,CNRNSP20B,Print,3
4A - CUR_Individual Temporary Eligibility,CNIEEN04A,Print,3
4A - CUR_Individual Temporary Eligibility,CNIEEN04A,Email,3
8D - CUR_Individual Temp Non-IAPEligibility,CNIEEN08D,Print,3
8A - CUR_Individual_Non-IAPEligibility,CNIEEN08A,Both,3
20A - CUR_First Documenation Reminder Notice,CNRNSP20A,Print,3
7D - CUR_ Unassisted  Exchange+Mediciad,CNMFEN07D,Print,3
102 - CUR_Confirmation of Receipt Notice_SPA,CNMRSP102,Print,3
2 - CUR_Request for Information,CNMESP02,Print,2
15B1 - CUR_Medicaid Self Report Inconsistent with Data Match,CNRDEN15B1,Print,2
4A - CUR_Individual Temporary Eligibility,CNIESP04A,Print,2
31 - CUR_Confirmation of Documents Received-No Further Documents Needed,CNDREN31,Print,2
1G - CUR_Medicaid and Temp Medicaid Eligibility,CNMEEN01G,Both,2
31 - CUR_Confirmation of Documents Received-No Further Documents Needed,CNDREN31,Both,2
1G - CUR_Medicaid and Temp Medicaid Eligibility,CNMEEN01G,Print,2
22 - CUR_Fourth Documentation Reminder Notice,CNRNEN22,Email,2
7A - CUR_Mixed Coverage Family Eligibility,CNMFEN07A,Print,2
19 - CUR_Request For Social Security Number,CNRSEN19,Both,2
22 - CUR_Fourth Documentation Reminder Notice,CNRNEN22,Print,2
31 - CUR_Confirmation of Documents Received-No Further Documents Needed,CNDRSP31,Both,1
1A - CUR_Medicaid Eligibility,CNMEAM01A,Print,1
9A - CUR_Individual Non IAP Eligibility,CNIEEN09A,Both,1
22 - CUR_Fourth Documentation Reminder Notice,CNRNEN22,Both,1
20B - CUR_Second  Documenation Reminder Notice,CNRNAM20B,Both,1
31A - CUR_Confirmation of Documents Received-Additional Documents Still Needed,CNDRSP31A,Print,1
2 - CUR_Request for Information,CNMESP02,Both,1
4A - CUR_Individual Temporary Eligibility,CNIEAM04A,Both,1
15B1 - CUR_Medicaid Self Report Inconsistent with Data Match,CNRDEN15B1,Both,1
8D - CUR_Individual Temp Non-IAPEligibility,CNIEEN08D,Email,1
20A - CUR_First Documenation Reminder Notice,CNRNSP20A,Both,1
10 - CUR_Total Ineligibility,CNIEEN10,Print,1
1B - CUR_Temporary Medicaid,CNMEEN01B,Print,1
15A - CUR_Re-determination Based on Self-Reported Information,CNRDSP15A,Print,1
31A - CUR_Confirmation of Documents Received-Additional Documents Still Needed,CNDREN31A,Email,1
31 - CUR_Confirmation of Documents Received-No Further Documents Needed,CNDREN31,Email,1
3A - CUR_Exchange+APTC Eligibility,CNIEEN03A,Both,1
