NOTICE_TEMPLATE_NAME,NOTICE_TEMLATEID,NOTICE_COMMUNICATION,NOTICESCOUNT 
1A - CUR_Medicaid Eligibility,CNMEEN01A,Print,29
2 - CUR_Request for Information,CNMEEN02,Print,25
21 - CUR_Third Documentation Reminder Notice,CNRNEN21,Both,11
21 - CUR_Third Documentation Reminder Notice,CNRNEN21,Print,11
2 - CUR_Request for Information,CNMEEN02,Both,10
22 - CUR_Fourth Documentation Reminder Notice,CNRNEN22,Both,10
20A - CUR_First Documenation Reminder Notice,CNRNEN20A,Email,9
20B - CUR_Second  Documenation Reminder Notice,CNRNEN20B,Print,9
22 - CUR_Fourth Documentation Reminder Notice,CNRNEN22,Email,8
22 - CUR_Fourth Documentation Reminder Notice,CNRNEN22,Print,6
15A - CUR_Re-determination Based on Self-Reported Information,CNRDEN15A,Print,6
21 - CUR_Third Documentation Reminder Notice,CNRNEN21,Email,5
20A - CUR_First Documenation Reminder Notice,CNRNEN20A,Both,4
2 - CUR_Request for Information,CNMEEN02,Email,4
8D - CUR_Individual Temp Non-IAPEligibility,CNIEEN08D,Print,4
20B - CUR_Second  Documenation Reminder Notice,CNRNEN20B,Both,4
4A - CUR_Individual Temporary Eligibility,CNIEEN04A,Both,3
5A - CUR_Mixed Coverage Family,CNMFEN05A,Print,3
3A - CUR_Exchange+APTC Eligibility,CNIEEN03A,Both,3
8A - CUR_Individual_Non-IAPEligibility,CNIEEN08A,Print,3
15B1 - CUR_Medicaid Self Report Inconsistent with Data Match,CNRDSP15B1,Print,2
20B - CUR_Second  Documenation Reminder Notice,CNRNEN20B,Email,2
15B1 - CUR_Medicaid Self Report Inconsistent with Data Match,CNRDEN15B1,Print,2
8A - CUR_Individual_Non-IAPEligibility,CNIEEN08A,Both,2
20A - CUR_First Documenation Reminder Notice,CNRNEN20A,Print,2
4A - CUR_Individual Temporary Eligibility,CNIEEN04A,Email,2
7D - CUR_ Unassisted  Exchange+Mediciad,CNMFEN07D,Print,2
19 - CUR_Request For Social Security Number,CNRSEN19,Both,2
8D - CUR_Individual Temp Non-IAPEligibility,CNIEEN08D,Email,1
31 - CUR_Confirmation of Documents Received-No Further Documents Needed,CNDREN31,Both,1
1A - CUR_Medicaid Eligibility,CNMEEN01A,Email,1
4A - CUR_Individual Temporary Eligibility,CNIESP04A,Both,1
7A - CUR_Mixed Coverage Family Eligibility,CNMFEN07A,Both,1
1E2 - CUR_Foster Care New Medicaid Eligibility Notice,CNMEEN01E2,Both,1
15B1 - CUR_Medicaid Self Report Inconsistent with Data Match,CNRDEN15B1,Both,1
7A - CUR_Mixed Coverage Family Eligibility,CNMFEN07A,Print,1
3A - CUR_Exchange+APTC Eligibility,CNIEEN03A,Email,1
31A - CUR_Confirmation of Documents Received-Additional Documents Still Needed,CNDREN31A,Print,1
31A - CUR_Confirmation of Documents Received-Additional Documents Still Needed,CNDREN31A,Email,1
15A - CUR_Re-determination Based on Self-Reported Information,CNRDEN15A,Both,1
31A - CUR_Confirmation of Documents Received-Additional Documents Still Needed,CNDRSP31A,Print,1
22 - CUR_Fourth Documentation Reminder Notice,CNRNSP22,Print,1
7D - CUR_ Unassisted  Exchange+Mediciad,CNMFEN07D,Both,1
4A - CUR_Individual Temporary Eligibility,CNIESP04A,Print,1
8D - CUR_Individual Temp Non-IAPEligibility,CNIEEN08D,Both,1
6A - CUR_Mixed Coverage Family Temporary APTC_CSR,CNMFEN06A,Both,1
31 - CUR_Confirmation of Documents Received-No Further Documents Needed,CNDREN31,Print,1
3A - CUR_Exchange+APTC Eligibility,CNIEEN03A,Print,1
2 - CUR_Request for Information,CNMESP02,Print,1
19 - CUR_Request For Social Security Number,CNRSEN19,Email,1
4A - CUR_Individual Temporary Eligibility,CNIEEN04A,Print,1
9A - CUR_Individual Non IAP Eligibility,CNIESP09A,Print,1
15B1 - CUR_Medicaid Self Report Inconsistent with Data Match,CNRDEN15B1,Email,1
31A - CUR_Confirmation of Documents Received-Additional Documents Still Needed,CNDREN31A,Both,1
1A - CUR_Medicaid Eligibility,CNMEEN01A,Both,1
