NOTICE_TEMPLATE_NAME,NOTICE_TEMLATEID,NOTICE_COMMUNICATION,NOTICESCOUNT 
103 - CUR_Thirty Day Termination Notice,CNMREN103,Print,2383
103 - CUR_Thirty Day Termination Notice_SPA,CNMRSP103,Print,343
102 - CUR_Confirmation of Receipt Notice,CNMREN102,Print,163
1A - CUR_Medicaid Eligibility,CNMEEN01A,Print,156
SR4 - CUR_DCHL Confirmation of Receipt Notice,CNMRENSR4,Print,64
1A - CUR_Medicaid Eligibility,CNMEEN01A,Both,41
SR4 - CUR_DCHL Confirmation of Receipt Notice,CNMRENSR4,Both,40
15A - CUR_Re-determination Based on Self-Reported Information,CNRDEN15A,Print,29
20A - CUR_First Documenation Reminder Notice,CNRNEN20A,Print,25
102 - CUR_Confirmation of Receipt Notice_SPA,CNMRSP102,Print,21
10 - CUR_Total Ineligibility,CNIEEN10,Print,20
20A - CUR_First Documenation Reminder Notice,CNRNEN20A,Both,19
22 - CUR_Fourth Documentation Reminder Notice,CNRNEN22,Print,18
20A - CUR_First Documenation Reminder Notice,CNRNEN20A,Email,15
15A - CUR_Re-determination Based on Self-Reported Information,CNRDEN15A,Both,15
1A - CUR_Medicaid Eligibility,CNMESP01A,Print,14
21 - CUR_Third Documentation Reminder Notice,CNRNEN21,Both,14
2 - CUR_Request for Information,CNMEEN02,Both,13
21 - CUR_Third Documentation Reminder Notice,CNRNEN21,Email,12
2 - CUR_Request for Information,CNMEEN02,Print,11
21 - CUR_Third Documentation Reminder Notice,CNRNEN21,Print,11
22 - CUR_Fourth Documentation Reminder Notice,CNRNEN22,Both,8
1A - CUR_Medicaid Eligibility,CNMEEN01A,Email,6
20B - CUR_Second  Documenation Reminder Notice,CNRNEN20B,Print,5
22 - CUR_Fourth Documentation Reminder Notice,CNRNEN22,Email,5
10 - CUR_Total Ineligibility,CNIESP10,Print,4
SR4 - CUR_DCHL Confirmation of Receipt Notice_SPA,CNMRSPSR4,Print,4
SR4 - CUR_DCHL Confirmation of Receipt Notice,CNMRENSR4,Email,4
20B - CUR_Second  Documenation Reminder Notice,CNRNEN20B,Both,3
15A - CUR_Re-determination Based on Self-Reported Information,CNRDSP15A,Print,3
2 - CUR_Request for Information,CNMEEN02,Email,3
1F - CUR_Medicaid and Temp Medicaid Eligibility,CNMEEN01F,Both,2
31 - CUR_Confirmation of Documents Received-No Further Documents Needed,CNDREN31,Print,2
37B1 - CUR_VoluntaryTermination (No New Plan),CNPCEN37B1,Print,2
1E2 - CUR_Foster Care New Medicaid Eligibility Notice,CNMEEN01E2,Email,2
3A - CUR_Exchange+APTC Eligibility,CNIEEN03A,Email,2
21 - CUR_Third Documentation Reminder Notice,CNRNSP21,Both,2
1A - CUR_Medicaid Eligibility,CNMEAM01A,Print,2
20B - CUR_Second  Documenation Reminder Notice,CNRNEN20B,Email,2
31 - CUR_Confirmation of Documents Received-No Further Documents Needed,CNDREN31,Both,1
1E2 - CUR_Foster Care New Medicaid Eligibility Notice,CNMEEN01E2,Both,1
20A - CUR_First Documenation Reminder Notice,CNRNSP20A,Print,1
19 - CUR_Request For Social Security Number_SPA,CNRSSP19,Print,1
22 - CUR_Fourth Documentation Reminder Notice,CNRNSP22,Print,1
21 - CUR_Third Documentation Reminder Notice,CNRNSP21,Print,1
4A - CUR_Individual Temporary Eligibility,CNIEEN04A,Both,1
4A - CUR_Individual Temporary Eligibility,CNIESP04A,Print,1
8A - CUR_Individual_Non-IAPEligibility,CNIEEN08A,Print,1
3A - CUR_Exchange+APTC Eligibility,CNIEEN03A,Print,1
19 - CUR_Request For Social Security Number,CNRSEN19,Both,1
SR4 - CUR_DCHL Confirmation of Receipt Notice_SPA,CNMRSPSR4,Both,1
20B - CUR_Second  Documenation Reminder Notice,CNRNSP20B,Print,1
19 - CUR_Request For Social Security Number,CNRSEN19,Print,1
3A - CUR_Exchange+APTC Eligibility,CNIEAM03A,Print,1
1F - CUR_Medicaid and Temp Medicaid Eligibility,CNMEEN01F,Print,1
15A - CUR_Re-determination Based on Self-Reported Information,CNRDSP15A,Both,1
