NOTICE_TEMPLATE_NAME,NOTICE_TEMLATEID,NOTICE_COMMUNICATION,NOTICESCOUNT 
102 - CUR_Confirmation of Receipt Notice,CNMREN102,Print,221
1A - CUR_Medicaid Eligibility,CNMEEN01A,Print,127
1A - CUR_Medicaid Eligibility,CNMEEN01A,Both,32
10 - CUR_Total Ineligibility,CNIEEN10,Print,27
20A - CUR_First Documenation Reminder Notice,CNRNEN20A,Print,23
102 - CUR_Confirmation of Receipt Notice_SPA,CNMRSP102,Print,19
2 - CUR_Request for Information,CNMEEN02,Print,18
2 - CUR_Request for Information,CNMEEN02,Both,14
1A - CUR_Medicaid Eligibility,CNMESP01A,Print,12
20B - CUR_Second  Documenation Reminder Notice,CNRNEN20B,Print,11
20A - CUR_First Documenation Reminder Notice,CNRNEN20A,Both,11
1A - CUR_Medicaid Eligibility,CNMEEN01A,Email,10
22 - CUR_Fourth Documentation Reminder Notice,CNRNEN22,Print,10
22 - CUR_Fourth Documentation Reminder Notice,CNRNEN22,Both,7
21 - CUR_Third Documentation Reminder Notice,CNRNEN21,Print,7
SR8 - CUR_SEP Denial,CNLEENSR8,Print,6
20A - CUR_First Documenation Reminder Notice,CNRNEN20A,Email,6
SR8 - CUR_SEP Denial,CNLEENSR8,Email,6
2 - CUR_Request for Information,CNMEEN02,Email,5
21 - CUR_Third Documentation Reminder Notice,CNRNEN21,Both,5
20B - CUR_Second  Documenation Reminder Notice,CNRNEN20B,Both,5
21 - CUR_Third Documentation Reminder Notice,CNRNEN21,Email,4
22 - CUR_Fourth Documentation Reminder Notice,CNRNEN22,Email,4
10 - CUR_Total Ineligibility,CNIESP10,Print,4
8A - CUR_Individual_Non-IAPEligibility,CNIEEN08A,Print,3
1E2 - CUR_Foster Care New Medicaid Eligibility Notice,CNMEEN01E2,Print,3
SR8 - CUR_SEP Denial,CNLEENSR8,Both,3
20B - CUR_Second  Documenation Reminder Notice,CNRNEN20B,Email,3
7D - CUR_ Unassisted  Exchange+Mediciad,CNMFEN07D,Print,3
7D - CUR_ Unassisted  Exchange+Mediciad,CNMFEN07D,Both,2
20B - CUR_Second  Documenation Reminder Notice,CNRNSP20B,Print,2
4A - CUR_Individual Temporary Eligibility,CNIEEN04A,Email,2
31 - CUR_Confirmation of Documents Received-No Further Documents Needed,CNDRSP31,Print,2
3A - CUR_Exchange+APTC Eligibility,CNIEEN03A,Email,1
1A - CUR_Medicaid Eligibility,CNMEAM01A,Both,1
4A - CUR_Individual Temporary Eligibility,CNIEEN04A,Both,1
5A - CUR_Mixed Coverage Family,CNMFSP05A,Print,1
SR7 - CUR_SEP Approval,CNLEENSR7,Email,1
8D - CUR_Individual Temp Non-IAPEligibility,CNIEEN08D,Both,1
30 - CUR_Medicaid Card Replacement Confirmation,CNMCEN30,Email,1
1A - CUR_Medicaid Eligibility,CNMEAM01A,Print,1
3A - CUR_Exchange+APTC Eligibility,CNIEEN03A,Print,1
4A - CUR_Individual Temporary Eligibility,CNIEEN04A,Print,1
5A - CUR_Mixed Coverage Family,CNMFSP05A,Both,1
9A - CUR_Individual Non IAP Eligibility,CNIEEN09A,Both,1
37B1 - CUR_VoluntaryTermination (No New Plan),CNPCEN37B1,Both,1
5A - CUR_Mixed Coverage Family,CNMFEN05A,Print,1
15B1 - CUR_Medicaid Self Report Inconsistent with Data Match,CNRDEN15B1,Print,1
8A - CUR_Individual_Non-IAPEligibility,CNIEEN08A,Both,1
8D - CUR_Individual Temp Non-IAPEligibility,CNIEEN08D,Email,1
SR7 - CUR_SEP Approval,CNLEENSR7,Print,1
15A - CUR_Re-determination Based on Self-Reported Information,CNRDEN15A,Both,1
