NOTICE_TEMPLATE_NAME,NOTICE_TEMLATEID,NOTICES_TRIGGERRED,ESB_PICKEDUP_COUNT,ESB_PRINT_COUNT 
2 - CUR_Request for Information,CNMEEN02,39,39,39
102 - CUR_Confirmation of Receipt Notice,CNMREN102,28,28,28
15A - CUR_Re-determination Based on Self-Reported Information,CNRDEN15A,24,24,24
SR4 - CUR_DCHL Confirmation of Receipt Notice,CNMRENSR4,22,22,22
20B - CUR_Second  Documenation Reminder Notice,CNRNEN20B,19,19,19
20A - CUR_First Documenation Reminder Notice,CNRNEN20A,12,12,12
102 - CUR_Confirmation of Receipt Notice_SPA,CNMRSP102,10,10,10
21 - CUR_Third Documentation Reminder Notice,CNRNEN21,6,6,6
10 - CUR_Total Ineligibility,CNIEEN10,6,6,6
22 - CUR_Fourth Documentation Reminder Notice,CNRNEN22,6,6,6
15B1 - CUR_Medicaid Self Report Inconsistent with Data Match,CNRDEN15B1,6,6,6
31 - CUR_Confirmation of Documents Received-No Further Documents Needed,CNDREN31,5,5,5
15A - CUR_Re-determination Based on Self-Reported Information,CNRDSP15A,3,3,3
30 - CUR_Medicaid Card Replacement Confirmation,CNMCEN30,1,1,1
15A - CUR_Re-determination Based on Self-Reported Information,CNRDAM15A,1,1,1
21 - CUR_Third Documentation Reminder Notice,CNRNSP21,1,1,1
20B - CUR_Second  Documenation Reminder Notice,CNRNSP20B,1,1,1
